Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
3131342,6,6,1,1,2,C,6,7,10,7,9,11,7,.,6,7,10,4,0,0,1,8,4,.,2,2,3,0,.,1,1,1,54703,55017,3,3,1
3131383,6,6,2,1,2,C,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,.,3,3,3,0,.,1,1,1,54703,55017,3,3,1
3131409,6,7,2,1,2,C,6,6,10,6,6,10,4,0,6,6,10,4,0,0,0,8,2,.,2,1,3,0,.,1,1,.,54703,55017,3,3,1
3131417,6,3,1,.,1,D,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,4,.,.,.,3,.,.,.,0,.,54701,55033,3,3,1
3131425,6,3,1,1,2,C,6,4,10,7,9,11,7,.,6,4,10,4,0,0,0,8,4,.,1,1,3,0,.,1,1,1,54720,55035,3,3,1
3131474,6,7,2,1,2,D,6,8,10,6,8,10,4,.,7,9,11,7,.,0,0,8,2,.,3,3,3,0,.,1,1,.,54701,55033,3,3,1
3131490,6,10,4,1,2,D,5,7,2,5,7,2,3,.,7,9,11,7,.,3,0,8,2,1,7,7,3,0,.,1,1,1,54701,55033,3,3,1
3131524,6,6,1,.,1,C,0,0,0,7,9,11,7,.,7,9,11,7,.,0,0,8,4,.,.,.,3,.,.,.,0,.,54720,55035,3,3,1
3131540,6,7,4,1,2,C,3,4,13,3,4,1,3,0,3,4,13,5,0,0,0,2,2,.,1,1,3,0,.,1,1,1,54703,55017,3,3,1
3131573,6,5,2,1,1,D,6,4,10,6,4,10,4,.,7,9,11,7,.,0,0,8,2,.,2,2,3,0,.,1,1,1,54701,55033,3,3,1
3131599,5,8,2,1,2,D,6,7,10,6,8,10,4,0,6,7,10,4,0,0,0,8,2,.,3,2,3,0,.,1,1,1,54701,55033,3,3,1
