IRI_KEY,OU,EST_ACV,Market_Name,Open,Clsd,MskdName
210815,GR,19.12199,NEW YORK,890,9998,Chain89
210830,GR,22.86299,SYRACUSE,486,9998,Chain87
210868,GR,23.23999,HARRISBURG/SCRANT,1150,9998,Chain12
210913,GR,10.27699,CHARLOTTE,692,1382,Chain35
211230,GR,32.84198,NEW ENGLAND,435,1233,Chain107
211301,GR,18.38899,NEW ENGLAND,1001,9998,Chain50
211327,GR,19.26599,NEW YORK,435,1129,Chain45
211395,GR,45.47498,NEW YORK,842,1193,Chain134
211912,GR,9.602997,HARRISBURG/SCRANT,833,1271,Chain87
211926,GR,10.948,MISSISSIPPI,817,9998,Chain60
212482,GR,18.40599,KNOXVILLE,1139,9998,Chain70
212957,GR,23.01299,ROANOKE,842,9998,Chain70
213109,GR,9.375,ATLANTA,1123,1298,Chain126
213133,GR,24.267,PHILADELPHIA,589,9998,Chain10
213235,GR,8.163994,SOUTH CAROLINA,1129,9998,Chain135
213290,GR,45.40698,PITTSFIELD,435,9998,Chain114
213511,GR,17.198,PHILADELPHIA,1038,1130,Chain10
213975,GR,9.602997,SYRACUSE,843,1271,Chain87
214045,GR,8.086998,SPOKANE,882,9998,Chain119
214051,GR,15.337,SPOKANE,727,1269,Chain4
214066,GR,19.78899,SPOKANE,435,1117,Chain119
214088,GR,11.94099,SPOKANE,842,9998,Chain119
214274,GR,19.26599,RALEIGH/DURHAM,946,1342,Chain131
214465,GR,18.155,SYRACUSE,1107,9998,Chain85
214468,GR,17.23,SPOKANE,700,1145,Chain4
214636,GR,39.185,NEW ENGLAND,1118,1230,Chain85
214705,GR,15.006,MILWAUKEE,1121,1274,Chain42
214709,GR,38.84497,MILWAUKEE,567,9998,Chain97
214734,GR,19.80499,SOUTH CAROLINA,709,9998,Chain16
214844,GR,23.13199,"WASHINGTON, DC",622,9998,Chain44
214926,GR,28.58899,NEW ENGLAND,435,9998,Chain107
214932,GR,27.34,"PROVIDENCE,RI",435,1219,Chain114
215371,GR,21.59599,NEW YORK,809,1175,Chain9
215433,GR,21.59599,NEW YORK,605,1313,Chain9
216202,GR,16.937,WEST TEX/NEW MEX,618,9998,Chain110
216210,GR,8.017998,SOUTH CAROLINA,1129,9998,Chain135
216972,GR,23.23999,HARRISBURG/SCRANT,1076,1202,Chain12
217434,GR,43.09698,NEW ENGLAND,990,1220,Chain50
217460,GR,19.09698,CHICAGO,727,9998,Chain55
217523,GR,23.23999,PHILADELPHIA,1076,1221,Chain12
217529,GR,13.341,HARRISBURG/SCRANT,1119,9998,Chain133
217595,GR,39.452,BOSTON,842,1286,Chain15
217781,GR,6.654999,SOUTH CAROLINA,904,9998,Chain16
217804,GR,40.77197,HARRISBURG/SCRANT,895,9998,Chain40
218003,GR,6.802998,PHILADELPHIA,1038,9998,Chain10
218026,GR,19.26599,NEW ENGLAND,566,1126,Chain45
218116,GR,3.346998,SOUTH CAROLINA,519,9998,Chain35
218312,GR,16.883,NEW ENGLAND,842,9998,Chain107
218548,GR,10.44099,ROANOKE,526,9998,Chain62
218564,GR,6.053997,HARTFORD,584,1114,Chain116
218589,GR,17.198,NEW YORK,1014,1170,Chain10
218592,GR,17.198,NEW ENGLAND,795,1186,Chain10
218806,GR,24.002,ST. LOUIS,833,1203,Chain105
219209,GR,42.34698,NEW YORK,1031,9998,Chain134
219231,GR,30.034,NEW YORK,539,9998,Chain134
219367,GR,19.26599,CHICAGO,1112,1259,Chain71
219387,GR,19.26599,NEW ENGLAND,795,1123,Chain45
219536,GR,32.18198,HARTFORD,926,1191,Chain15
219541,GR,4.320999,ROANOKE,888,9998,Chain35
219596,GR,15.112,"WASHINGTON, DC",795,1269,Chain9
219646,GR,18.61899,NEW YORK,842,9998,Chain65
219696,GR,9.602997,SYRACUSE,519,1272,Chain87
219777,GR,26.131,NEW ENGLAND,842,9998,Chain107
219796,GR,17.12599,PHILADELPHIA,1119,9998,Chain10
219851,GR,13.322,PHILADELPHIA,1023,9998,Chain10
219926,GR,27.15399,BOSTON,435,9998,Chain107
219946,GR,19.26599,NEW YORK,1001,1120,Chain45
219953,GR,6.035999,ROANOKE,1085,1399,Chain35
220146,GR,19.26599,NEW ENGLAND,795,1122,Chain45
220159,GR,66.14398,PHILADELPHIA,807,9998,Chain134
220476,GR,10.196,NEW ENGLAND,1107,9998,Chain85
220585,GR,27.97299,SYRACUSE,714,1366,Chain85
220612,GR,6.606998,RALEIGH/DURHAM,761,9998,Chain35
220628,GR,45.47498,NEW YORK,842,1209,Chain134
220649,GR,15.83199,HARTFORD,659,9998,Chain10
220679,GR,48.75897,NEW YORK,842,9998,Chain134
220689,GR,9.383995,NEW YORK,810,9998,Chain9
220690,GR,37.90698,SYRACUSE,517,9998,Chain85
220706,GR,21.89299,NEW YORK,435,1425,Chain134
221501,GR,12.058,MISSISSIPPI,586,1261,Chain20
221658,GR,9.675995,RICHMOND/NORFOLK,795,9998,Chain35
221762,GR,8.789993,SOUTH CAROLINA,624,9998,Chain91
222077,GR,61.56598,NEW YORK,537,9998,Chain134
222290,GR,14.21899,RICHMOND/NORFOLK,947,9998,Chain35
222320,GR,19.84099,PHILADELPHIA,561,9998,Chain9
222576,GR,31.53099,BOSTON,435,1221,Chain107
222577,GR,23.32799,NEW ENGLAND,795,9998,Chain30
222749,GR,10.27699,SOUTH CAROLINA,517,1366,Chain35
222781,GR,12.84599,BIRMINGHAM/MONTG.,670,1355,Chain127
222797,GR,42.01398,HARRISBURG/SCRANT,540,1204,Chain134
222824,GR,21.59599,HARRISBURG/SCRANT,983,1117,Chain9
222860,GR,13.00999,SYRACUSE,843,9998,Chain87
222968,GR,23.32999,KNOXVILLE,851,9998,Chain70
222995,GR,19.26599,SOUTH CAROLINA,981,1329,Chain131
222998,GR,13.713,ROANOKE,562,1214,Chain62
223084,GR,46.21399,NEW YORK,540,9998,Chain134
223199,GR,9.170998,NEW ENGLAND,806,9998,Chain50
223251,GR,8.448997,RICHMOND/NORFOLK,1031,1236,Chain36
223293,GR,19.26599,CHARLOTTE,1142,1353,Chain131
223294,GR,16.711,ROANOKE,566,9998,Chain35
223413,GR,17.198,HARTFORD,795,1207,Chain10
223450,GR,23.62299,"NEW ORLEANS, LA",1053,9998,Chain125
223492,GR,44.04999,ATLANTA,461,1129,Chain69
223601,GR,12.40199,BIRMINGHAM/MONTG.,1003,1216,Chain127
223660,GR,5.473,SEATTLE/TACOMA,1123,9998,Chain3
223676,GR,19.26599,TOLEDO,1139,1231,Chain106
223713,GR,19.26599,NEW YORK,435,1132,Chain45
223759,GR,37.86499,HARRISBURG/SCRANT,570,9998,Chain40
223773,GR,15.862,ROANOKE,444,9998,Chain70
223807,GR,28.189,NEW YORK,654,9998,Chain10
223972,GR,19.78899,SPOKANE,842,1420,Chain119
223982,GR,19.78899,SPOKANE,435,1158,Chain119
224014,GR,23.23999,HARRISBURG/SCRANT,1148,1266,Chain12
224164,GR,17.27599,HARRISBURG/SCRANT,435,9998,Chain40
224281,GR,19.26599,ROANOKE,435,1324,Chain131
224312,GR,16.02699,KNOXVILLE,504,9998,Chain61
224392,GR,20.86299,NEW YORK,898,9998,Chain114
224396,GR,15.698,HARRISBURG/SCRANT,1119,1410,Chain133
224457,GR,45.06497,SAN FRANCISCO,435,9998,Chain117
224496,GR,12.132,BUFFALO/ROCHESTER,682,9998,Chain122
225023,GR,54.97498,GRAND RAPIDS,692,9998,Chain75
225293,GR,23.23999,HARRISBURG/SCRANT,1076,1198,Chain12
225332,GR,19.26599,NEW ENGLAND,754,1126,Chain45
225411,GR,11.529,"WASHINGTON, DC",439,9998,Chain44
225677,GR,23.24799,MILWAUKEE,918,9998,Chain97
225736,GR,40.02698,SAN FRANCISCO,784,1271,Chain7
225757,GR,35.83298,NEW ENGLAND,1010,9998,Chain50
225963,GR,48.50598,MINNEAPOLIS/ST. PAUL,806,9998,Chain115
225999,GR,15.314,LOS ANGELES,873,9998,Chain124
226079,GR,18.44199,BUFFALO/ROCHESTER,662,9998,Chain122
226158,GR,14.06499,RICHMOND/NORFOLK,1031,9998,Chain123
226160,GR,11.63499,LOS ANGELES,514,9998,Chain124
226164,GR,5.276997,SEATTLE/TACOMA,951,1114,Chain3
226231,GR,30.56898,HARTFORD,926,1234,Chain114
226293,GR,22.95,WEST TEX/NEW MEX,435,9998,Chain6
226501,GR,29.627,LOS ANGELES,1092,9998,Chain113
226568,GR,13.34599,CHARLOTTE,1030,9998,Chain52
226597,GR,24.14799,"WASHINGTON, DC",439,9998,Chain44
226638,GR,19.26599,NEW YORK,435,1123,Chain45
226665,GR,27.81799,HOUSTON,909,9998,Chain63
226686,GR,50.918,PHILADELPHIA,761,9998,Chain134
226740,GR,19.09698,CHICAGO,1119,1276,Chain55
226816,GR,19.26599,NEW ENGLAND,926,1138,Chain45
226839,GR,11.564,"NEW ORLEANS, LA",1054,9998,Chain10
226898,GR,19.26599,TOLEDO,584,1243,Chain106
227099,GR,28.48199,LOS ANGELES,1093,9998,Chain113
227169,GR,17.81,WEST TEX/NEW MEX,1075,9998,Chain4
227359,GR,10.23499,"DALLAS, TX",897,9998,Chain64
227584,GR,23.80099,RALEIGH/DURHAM,439,1203,Chain52
227587,GR,38.67099,SAN DIEGO,1144,9998,Chain94
227598,GR,28.79599,MINNEAPOLIS/ST. PAUL,552,9998,Chain97
227653,GR,14.98599,MISSISSIPPI,1072,1355,Chain125
227670,GR,11.863,RALEIGH/DURHAM,496,9998,Chain35
227725,GR,17.92599,LOS ANGELES,1092,9998,Chain113
227754,GR,17.198,DETROIT,732,1210,Chain10
227757,GR,16.853,"PORTLAND,OR",435,1258,Chain120
227758,GR,12.975,BOSTON,711,1423,Chain114
228037,GR,10.13,EAU CLAIRE,435,9998,NONE
228078,GR,19.37299,KNOXVILLE,842,9998,Chain70
228080,GR,41.55099,HOUSTON,733,1205,Chain49
228137,GR,14.28699,"WASHINGTON, DC",435,9998,Chain101
228167,GR,15.785,LOS ANGELES,1092,9998,Chain113
228194,GR,24.00899,SACRAMENTO,487,9998,Chain98
228282,GR,8.946999,BIRMINGHAM/MONTG.,761,9998,Chain127
228406,GR,19.78899,SEATTLE/TACOMA,518,1175,Chain119
228444,GR,23.27699,LOS ANGELES,1092,9998,Chain113
228694,GR,25.62299,LOS ANGELES,471,9998,Chain94
228768,GR,12.058,BIRMINGHAM/MONTG.,435,1293,Chain20
228771,GR,15.006,MILWAUKEE,738,9998,Chain42
228847,GR,19.78899,SEATTLE/TACOMA,518,1159,Chain119
228974,GR,11.88499,"DALLAS, TX",795,9998,Chain76
229004,GR,24.66599,HARTFORD,594,1202,Chain10
229030,GR,6.553997,SEATTLE/TACOMA,1123,9998,Chain3
229057,GR,14.49699,ROANOKE,435,1339,Chain62
229089,GR,20.256,NEW YORK,1019,9998,Chain10
229217,GR,30.306,BOSTON,435,9998,Chain107
229339,GR,9.315994,RICHMOND/NORFOLK,908,9998,Chain35
229495,GR,21.35899,LOS ANGELES,720,1198,Chain124
229547,GR,19.02699,LOS ANGELES,1092,9998,Chain113
229757,GR,17.142,LOS ANGELES,797,9998,Chain94
229798,GR,23.308,SAN FRANCISCO,795,9998,Chain94
229818,GR,41.814,TOLEDO,788,9998,Chain57
229831,GR,18.65199,SACRAMENTO,435,1223,Chain7
229875,GR,19.12299,LOS ANGELES,1092,9998,Chain113
230104,GR,8.657997,BUFFALO/ROCHESTER,587,9998,Chain87
230183,GR,6.078999,SOUTH CAROLINA,527,9998,Chain35
230195,GR,14.98599,MISSISSIPPI,795,1206,Chain125
230228,GR,19.26599,WEST TEX/NEW MEX,890,1145,Chain39
230275,GR,7.508999,RALEIGH/DURHAM,819,9998,Chain35
230318,GR,6.688,MILWAUKEE,439,1284,Chain108
230350,GR,13.563,LOS ANGELES,873,1198,Chain124
230491,GR,13.51099,HOUSTON,435,9998,Chain63
230501,GR,19.26599,BIRMINGHAM/MONTG.,807,1114,Chain28
230501,GR,10.341,BIRMINGHAM/MONTG.,1120,9998,Chain20
230514,GR,7.386997,RALEIGH/DURHAM,1119,9998,Chain35
230557,GR,19.37199,LOS ANGELES,1092,9998,Chain113
230628,GR,9.993996,RALEIGH/DURHAM,476,9998,Chain35
230629,GR,19.00299,LOS ANGELES,1092,9998,Chain113
230761,GR,27.15799,SAN FRANCISCO,1039,1233,Chain98
231065,GR,23.48499,DES MOINES,917,1216,Chain53
231084,GR,43.60199,NEW YORK,435,1225,Chain89
231251,GR,7.998997,GRAND RAPIDS,435,9998,Chain112
231293,GR,14.49799,SEATTLE/TACOMA,518,9998,Chain119
231375,GR,10.78999,NEW YORK,802,9998,Chain65
231405,GR,55.42499,CHARLOTTE,435,9998,Chain52
231505,GR,10.572,"WASHINGTON, DC",1142,9998,Chain101
231533,GR,16.90799,LOS ANGELES,547,9998,Chain94
231584,GR,33.49698,"WASHINGTON, DC",439,9998,Chain44
231588,GR,5.080997,SEATTLE/TACOMA,960,9998,Chain3
231665,GR,19.26599,"PORTLAND,OR",922,1329,Chain137
231720,GR,16.84999,ST. LOUIS,719,9998,Chain32
231813,GR,6.264,PHILADELPHIA,724,9998,Chain9
231874,GR,14.69199,"NEW ORLEANS, LA",435,1346,Chain6
231963,GR,18.20499,LOS ANGELES,983,9998,Chain94
232175,GR,23.55499,SAN FRANCISCO,435,9998,Chain7
232349,GR,9.602997,ROANOKE,569,1271,Chain87
232419,GR,14.211,ATLANTA,1140,1392,Chain54
232473,GR,24.08099,LOS ANGELES,1092,9998,Chain113
232626,GR,16.825,CHICAGO,435,1270,Chain31
232633,GR,22.98999,ST. LOUIS,824,9998,Chain105
232733,GR,11.432,"PORTLAND,OR",435,9998,Chain120
232902,GR,12.058,BIRMINGHAM/MONTG.,435,1334,Chain20
233101,GR,17.07999,NEW YORK,435,1253,Chain89
233246,GR,43.38599,ST. LOUIS,435,9998,Chain105
233368,GR,20.01999,SYRACUSE,435,1351,Chain122
233411,GR,12.354,CHARLOTTE,1139,9998,Chain35
233504,GR,10.729,"DALLAS, TX",435,1122,Chain76
233605,GR,23.80099,SOUTH CAROLINA,496,1141,Chain52
233607,GR,35.19498,HARTFORD,702,9998,Chain134
233644,GR,10,RALEIGH/DURHAM,1038,9998,Chain52
233708,GR,5.276997,SEATTLE/TACOMA,607,9998,Chain3
233744,GR,17.198,NEW YORK,964,9998,Chain10
233779,GR,43.05399,EAU CLAIRE,954,9998,NONE
233795,GR,30.56898,NEW YORK,1117,1379,Chain114
233805,GR,27.53699,MINNEAPOLIS/ST. PAUL,841,9998,Chain97
233825,GR,18.65199,SAN FRANCISCO,1031,1288,Chain7
233829,GR,7.473,"TULSA,OK",795,1169,Chain102
233911,GR,27.02299,"PORTLAND,OR",1059,9998,Chain120
233981,GR,7.417,"DALLAS, TX",842,9998,Chain17
234123,GR,6.053997,BOSTON,1165,1295,Chain116
234140,GR,26.36499,PITTSFIELD,440,9998,Chain85
234212,GR,37.46799,CHICAGO,435,9998,Chain55
234337,GR,8.518997,SOUTH CAROLINA,1069,9998,Chain35
234525,GR,6.447998,BIRMINGHAM/MONTG.,934,9998,Chain20
234578,GR,15.006,GREEN BAY,644,1247,Chain42
234598,GR,15.156,KANSAS CITY,935,9998,Chain53
234616,GR,23.896,LOS ANGELES,473,9998,Chain124
234627,GR,8.321999,SYRACUSE,672,9998,Chain87
234702,GR,37.72699,PHILADELPHIA,654,9998,Chain134
234741,GR,10.27699,RICHMOND/NORFOLK,890,1208,Chain35
